loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,name,pan_card,loan_returned,trustworthiness_score,education_enc,self_employed_enc,loan_status_enc
1,2,Graduate,No,9600000.0,29900000.0,12,778,2400000.0,17600000.0,22700000.0,8000000.0,Approved,Riya Bansal,GLBPV2094B,,50,1.0,0.0,1
2,0,Not Graduate,Yes,4100000.0,12200000.0,8,417,2700000.0,2200000.0,8800000.0,3300000.0,Rejected,Rakesh Bansal,QGTLU1935Y,,50,0.0,1.0,0
3,3,Graduate,No,9100000.0,29700000.0,20,506,7100000.0,4500000.0,33300000.0,12800000.0,Rejected,Neha Kumar,RECNI4267H,,50,1.0,0.0,0
4,3,Graduate,No,8200000.0,30700000.0,8,467,18200000.0,3300000.0,23300000.0,7900000.0,Rejected,Sneha Singh,KGVAL5525X,,50,1.0,0.0,0
5,5,Not Graduate,Yes,9800000.0,24200000.0,20,382,12400000.0,8200000.0,29400000.0,5000000.0,Rejected,Rakesh Kumar,GKLIA8747E,,50,0.0,1.0,0
6,0,Graduate,Yes,4800000.0,13500000.0,10,319,6800000.0,8300000.0,13700000.0,5100000.0,Rejected,Manish Bansal,RSDBK7343A,,50,1.0,1.0,0
7,5,Graduate,No,8700000.0,33000000.0,4,678,22500000.0,14800000.0,29200000.0,4300000.0,Approved,Meera Bansal,DBLGM6754C,,50,1.0,0.0,1
8,2,Graduate,Yes,5700000.0,15000000.0,20,382,13200000.0,5700000.0,11800000.0,6000000.0,Rejected,Anjali Kumar,MBGLX3202Y,,50,1.0,1.0,0
9,0,Graduate,Yes,800000.0,2200000.0,20,782,1300000.0,800000.0,2800000.0,600000.0,Approved,Shreya Mehta,TBYJJ4635R,,50,1.0,1.0,1
10,5,Not Graduate,No,1100000.0,4300000.0,10,388,3200000.0,1400000.0,3300000.0,1600000.0,Rejected,Anjali Kumar,WXRSP7642R,,50,0.0,0.0,0
11,4,Graduate,Yes,2900000.0,11200000.0,2,547,8100000.0,4700000.0,9500000.0,3100000.0,Approved,Meera Verma,PXKWG3957I,,50,1.0,1.0,1
12,2,Not Graduate,Yes,6700000.0,22700000.0,18,538,15300000.0,5800000.0,20400000.0,6400000.0,Rejected,Suresh Kapoor,UUAIU1762B,,50,0.0,1.0,0
13,3,Not Graduate,Yes,5000000.0,11600000.0,16,311,6400000.0,9600000.0,14600000.0,4300000.0,Rejected,Rakesh Kumar,GNPMD3594I,,50,0.0,1.0,0
14,2,Graduate,Yes,9100000.0,31500000.0,14,679,10800000.0,16600000.0,20900000.0,5000000.0,Approved,Pooja Bansal,XROUW5425B,,50,1.0,1.0,1
15,1,Not Graduate,No,1900000.0,7400000.0,6,469,1900000.0,1200000.0,5900000.0,1900000.0,Rejected,Ankit Mehta,KMHNI2505N,,50,0.0,0.0,0
16,5,Not Graduate,No,4700000.0,10700000.0,10,794,5700000.0,3900000.0,16400000.0,4400000.0,Approved,Meera Singh,YQIPE3936Q,,50,0.0,0.0,1
17,2,Graduate,Yes,500000.0,1600000.0,4,663,1300000.0,100000.0,1300000.0,700000.0,Approved,Pooja Verma,SWMII4562N,,50,1.0,1.0,1
18,4,Not Graduate,Yes,2900000.0,9400000.0,14,780,2900000.0,2800000.0,6700000.0,4300000.0,Approved,Sneha Agarwal,WNQBN0683I,,50,0.0,1.0,1
19,2,Graduate,No,2700000.0,10300000.0,10,736,1000000.0,0.0,6200000.0,3300000.0,Approved,Rohit Kapoor,MBCKI9321I,,50,1.0,0.0,1
20,5,Graduate,No,6300000.0,14600000.0,12,652,10300000.0,3500000.0,23500000.0,5900000.0,Approved,Neha Singh,CNBQJ7925B,,50,1.0,0.0,1
21,2,Graduate,No,5000000.0,19400000.0,12,315,9500000.0,1600000.0,18000000.0,6100000.0,Rejected,Rohit Mehta,CVUGL4687W,,50,1.0,0.0,0
22,4,Graduate,No,5800000.0,14000000.0,16,530,3800000.0,11300000.0,22200000.0,5400000.0,Rejected,Meera Agarwal,CODEJ9891R,,50,1.0,0.0,0
23,4,Graduate,Yes,6500000.0,25700000.0,18,311,13100000.0,1700000.0,19500000.0,8500000.0,Rejected,Rohit Malhotra,BUCOG2765F,,50,1.0,1.0,0
24,0,Not Graduate,Yes,500000.0,1400000.0,2,551,900000.0,600000.0,1100000.0,300000.0,Approved,Amit Verma,INPLZ1490L,,50,0.0,1.0,1
25,0,Not Graduate,No,4900000.0,9800000.0,16,324,3800000.0,8700000.0,10000000.0,3300000.0,Rejected,Rakesh Agarwal,RHHDG4462E,,50,0.0,0.0,0
26,5,Not Graduate,No,3100000.0,9500000.0,20,514,7900000.0,3100000.0,6600000.0,2600000.0,Rejected,Rohit Bansal,TRMOH4831B,,50,0.0,0.0,0
27,4,Graduate,No,8200000.0,28100000.0,12,696,11500000.0,10600000.0,25300000.0,7200000.0,Approved,Nikhil Mehta,SSIWW2102G,,50,1.0,0.0,1
